City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
553,Guider,CM,79.32,broken clouds,9.9342,13.9486,"AUBERGE LA GRACE , GÉRANT : OUDAWAREME BALTHAZAR"
556,Ixtapa,MX,80.22,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
562,Trairi,BR,80.94,scattered clouds,-3.2778,-39.2689,janelas do mar
568,Pahrump,US,68.05,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
571,Mayumba,GA,77.16,overcast clouds,-3.432,10.6554,LIKWALE LODGE
574,Morondava,MG,78.71,scattered clouds,-20.2833,44.2833,La Case Bambou
575,Mildura,AU,67.06,broken clouds,-34.2,142.15,Mercure Hotel Mildura
581,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
584,Kutum,SD,66.49,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
586,Nioro,GM,74.82,overcast clouds,13.35,-15.75,
588,Bagotville,AU,75.22,light rain,-28.9833,153.4167,Broadwater Sunrise Caravan Park
589,Betare Oya,CM,73.47,overcast clouds,5.6,14.0833,Auberge Tembina Betaré Oya
590,Sharjah,AE,74.25,few clouds,25.3573,55.4033,Swiss Belhotel Sharjah
591,Rio Grande,BR,69.94,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
592,Bata,GQ,79.61,overcast clouds,1.8639,9.7658,Hotel Elik Melen
594,Alamos,MX,77.72,overcast clouds,27.0167,-108.9333,Luz del Sol
595,Yangambi,CD,70.93,overcast clouds,0.8102,24.4336,
596,Eyl,SO,74.05,overcast clouds,7.9803,49.8164,Amiin Hotel
597,Conde,BR,78.26,few clouds,-7.2597,-34.9075,Pousada Beija Flor
598,Narrabri,AU,77.52,clear sky,-30.3167,149.7833,Crossroads Hotel
599,Labuhan,ID,79.2,moderate rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
600,Yenagoa,NG,78.69,broken clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
601,Santiago Del Estero,AR,73.8,overcast clouds,-27.7951,-64.2615,Apartamentos Castelli 90
602,Port Shepstone,ZA,71.02,overcast clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
603,Kinablangan,PH,80.29,broken clouds,7.6947,126.5503,Morales Eatery and Lodging House
609,Harper,LR,79.48,scattered clouds,4.375,-7.7169,Screensaver
617,Tual,ID,81.36,moderate rain,-5.6667,132.75,Grand Vilia Hotel
619,Qandala,SO,74.34,clear sky,11.472,49.8728,
620,Aswan,EG,67.93,clear sky,24.0934,32.907,Nuba Nile
622,Alta Gracia,AR,75.36,overcast clouds,-31.6529,-64.4283,Hotel Ritz
624,Itarema,BR,79.77,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
626,Ahuimanu,US,75.45,light rain,21.4447,-157.8378,Paradise Bay Resort
627,San Julian,MX,65.17,few clouds,21.0167,-102.1667,La Nueva España
628,Sampit,ID,74.08,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
632,Talara,PE,72.36,clear sky,-4.5772,-81.2719,Hostal Oro Negro
636,Piacabucu,BR,78.91,broken clouds,-10.4056,-36.4344,Piaçabuçu News
637,Tocopilla,CL,67.95,scattered clouds,-22.092,-70.1979,Hotel Galvarino
638,Imuris,MX,66.18,overcast clouds,30.7833,-110.8667,Hotel del Toro Hereford
639,Meiktila,MM,65.8,broken clouds,20.8667,95.8667,The Floral Breeze Wunzin Hotel
640,Mangai,CD,70.79,overcast clouds,-4.05,19.5333,
641,Kloulklubed,PW,81.1,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
644,Moyo,UG,69.96,scattered clouds,3.6609,31.7247,Amelia Guest House
648,Umm Lajj,SA,75.69,clear sky,25.0213,37.2685,Moon light Furnished Units
651,Miraflores,MX,66.61,clear sky,19.2167,-98.8083,Hotel Mansión
653,Ngunguru,NZ,76.15,overcast clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
656,Kaili,ID,71.35,overcast clouds,-3.4626,120.2147,
657,Mitsamiouli,KM,81.28,overcast clouds,-11.3847,43.2844,Foyer ADM
658,Turbana,CO,81.41,overcast clouds,10.2717,-75.4422,Cartagena Hills
659,Balingasay,PH,76.66,broken clouds,16.3573,119.8564,Rock Garden Resort
